SL.No,Ass.No,Subject,Author,Column1,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
4987,903,"??????
bh?gavata?",,Purana,PL,Tu,34x5,118folios,Purana,11,45,Inc.,OD ,"Script : Tulu, Language : Kannada"
4988,904,"???????? (??????)
ma?ima?jari (k?vya?)",Narayana Pandita,Dvaita,PL,TU,24x3.5 ,1 To 68,Dvaita,8,27,Inc.,ODW,
4989,905/1,"???? ??????????
d?v? m?h?tmya?",Narayana Pandita,Purana,PL,Tu,26x5.5,1 To 49,Purana,8,36,C,G,""""
4990,905/2,"?????? ???? ?????
durg? p?j? vidhi?",, pooja,PL,Tu,26x5.5,47 To 69, pooja,8,36,C,G,
4991,906,"???????????? ???
mudr?r?k?asa kath?",,Gadya - Katha,PL,TU,34x4.5,58Folios,Gadya - Katha,8,70,Inc.,OD,
4992,907,"????????????????
?ivasahasran?m?va?i?",,Stotra,PL,TU,25x6,1 To 26,Stotra,8,24,C,G,
4993,908/1,"??????????????? ??????????
vi??va???ttara ?atan?m?va?i?",,Stotra,PL,TU,23x5.5,2 To 3,Stotra,10,29,Inc.,OD,
4994,908/2,"??????? ????
sarasvat? p?j?",, pooja,TU,Tu,23x5.5,1 To 9, pooja,10,29,Inc.,G ,
4995,909,"??????????
garu?apur??a?",,Purana,PL,Tu,26x5.5,1 To 34,Purana,12,47,Inc,OD ,
4996,910/1,"?????? ????
n?r?ya?a h?daya",,Stotra,PL,TU,26x5,1 To 3,Stotra,10,38,C,G,From : Atharvana Rahasya
4997,910/2,"??????? ???? ????????
lak?m? h?daya st?tra?",,Stotra,PL,TU,26x5,4 To 13,Stotra,10,38,C,G,"Durmukhi sam, Asvija bahula Gangastami "
4998,910/3,"????????????????? ?????
pr??aprati??h?pan? vidhi?",, pooja,PL,Tu,26x5,14 To 15, pooja,10,38,C,G,
4999,910/4,"????????? ?????
m?tyu?jaya ma?tra",, pooja,PL,Tu,26x5,15 To 18, pooja,10,38,C,G,
5000,911/1,"????????? ????
?aniprad??a p?j?",, pooja,PL,TU,22x5,1 To 4, pooja,9,35,C,G,
5001,911/2,"??????? ????
nava?akti p?j?",, pooja,PL,Tu,22x5,1 To 7, pooja,9,35,C,G,
5002,911/3,"????????????? ??????????
??rad????ttara ?atan?m?va?i?",,Stotra,PL,TU,22x5,1 To 7,Stotra,9,35,C,G,
5003,911/4,"????????? ??? ????
a???ttara n?ma p?j?",, pooja,PL,TU,22x5,8 To 15, pooja,9,35,C,G,
5004,912/1,"?????? ????
pray?ga m?l?",???????, G- Prayoga   ,PL,Tu,26x6,1 To 150, G- Prayoga   ,9,34,C,G,
5005,912/2,"???? ??????? ??? ????????????
sarva karm??ga bh?ta pr?ya?citta",, G- Prayoga   ,PL,Tu,26x6 ,151 To 153, G- Prayoga   ,9,34,C,G,
5006,913/1,"???????? ????? ?????
m?ttik? sn?na vidhi?",, G- Prayoga   ,PL,TU,27.5x6,1 To 5, G- Prayoga   ,11,31,C,G ,Bodhayanokta
5007,913/10,"?????? ????????????
s?mav?ra vrata??gama?tra",,Vrata,PL,TU,27.5x6,22 To 23,Vrata,11,31,C,G,
5008,913/11,"???? ????? ?????? ?????
yajña s?tra vanabh?jana vidhi?",,Vrata,PL,Tu,27.5x6 ,23 To 23 To 1,Vrata,11,31,C,G,
5009,913/12,"???? ????????????
ana?ta vrat?dy?pana?",,Vrata,PL,Tu,27.5x6,23 To 1 To 26 To 1,Vrata,11,31,C ,G,
5010,913/13,"????????? ?????
arkaviv?ha vidhi?",, G- Prayoga   ,PL,TU,27.5x6,26 To 1 To 27, G- Prayoga   ,11,31,C ,G,""""
5011,913/14,"???? ???????????
dagdha vastralak?a?a",, G- Prayoga   ,PL,Tu,27.5x6,27 To 28, G- Prayoga   ,11,31,C,G,
5012,913/15,"?????? ???????????????????
vin?yaka caturth?vrat?dy?pana?",,Vrata,PL,TU,27.5x6,28 To 30,Vrata,11,31,C,G,
5013,913/16,"???????? ?????
m?s?pav?sa vrata?",,Vrata,PL,Tu,27.5x6,30 To 31 To 1,Vrata,11,31,C,G,
5014,913/17,"??????? ?????
pa?cagavya vidhi?",, G- Prayoga   ,PL,Tu,27.5x6,31 To 1 To 33, G- Prayoga   ,11,31,Inc. ,G,
5015,913/18,"???????? ?????
m?s?pav?sa vrata?",,Vrata,PL,Tu,27.5x6,33 To 38,Vrata,11,31,C ,G,From : Vishnupurana
5016,913/19,"?????? ????????????
?k?da?? vrat?dy?pana?",,Vrata,PL,Tu,27.5x6,38 To 1 To 41 To 1,Vrata,11,31,C ,G,
5017,913/2,"??? ?????
d?va tarpa?a",, G- Prayoga   ,PL,Tu,27.5x6,5.8, G- Prayoga   ,11,31,C,G,
5018,913/20,"????????? ????
?aniprad??a p?j?",, pooja,PL,TU,27.5x6,41 To 1 To 53, pooja,11,31,C,G,
