SL.No,Ass.No,Subject,Author,Column1,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
4915,863/1,"????? ????? ????????
graha?a ??dya v?khy?ni",,Jautisha,PL,TU,18x4.5,1 To 2,Jautisha,12,30,C,G,
4916,863/2,"?????????
a?auc???aka",Vararuci,,PL,TU,18x4.5,Aù To Bk,,12,30,C,G,
4917,863/3,"???????? ???? ????
asa?sk?ta vi?aya a?auca",,Jautisha,PL,TU,18x4.5,One,Jautisha,12,30,C,G,
4918,863/4,"??????? ?????
nak?atra da?a?la?",,Jautisha,PL,TU,18x4.5,45 To 53,Jautisha,12,30,Inc.,G ,
4919,863/5,"????? ????
a??aka varga",,Jautisha,PL,TU,18x4.5,54 To 55,Jautisha,12,30,Inc. ,G,
4920,863/6,"?????? ???????
svar?a par?k??",,Jautisha,PL,TU,18x4.5,One,Jautisha,12,30,C,G,
4921,863/7,"?????????? ???? ??
bhinn???aka varga da?a",,Jautisha,PL,TU,18x4.5,86 To 87,Jautisha,12,30,Inc.,G,
4922,863/8,"??? ?????
lat? vidhi?",,Jautisha,PL,TU,18x4.5,87,Jautisha,10,30,C ,G,
4923,864/1,"?????????
kaly??agh?ta",,Vaidya,PL,Tu,18x5,1 To 9,Vaidya,14,28,C ,G,Script : Tulu kannada language
4924,864/2,"??????? ???
pa?cagavya gh?ta",,Vaidya,PL,Tu,18x5,1 To 1 To 24,Vaidya,14,28,C,G,"Script - Tulu, Language - Kannada"
4925,864/3,"???? ???
vajra gh?ta",,Vaidya,PL,Tu,18x5,2 To 2 To 1,Vaidya,14,28,C ,G,
4926,864/4,"???????? ???
br?hm? gh?ta",,Vaidya,PL,Tu,18x5,2 To 1 To 4,Vaidya,14,28,C ,G,
4927,864/5,"???????
?ivag?t?",,Vaidya,PL,Tu,18x5,one,Vaidya,14,28,C,G,
4928,864/6,"???????
s?r?va?i",,Jautisha,PL,TU,18x5,One,Jautisha,14,28,C,G,
4929,864/7,"???? ?????
jvara lak?a?a",,Vaidya,PL,Tu,18x5,one,Vaidya,14,28,Inc.,G,
4930,865/1,"?????????
kaly??agh?ta",,Vaidya,PL,Tu,18x4.5,54 To 54 To 1,Vaidya,12,90,C,G,
4931,865/10,"??????? ???????
?r?ddha pray?ga?",, G- Prayoga   ,PL,TU,18x4.5,1 To , G- Prayoga   ,10,25,C ,G,
4932,865/11,"???? ????????? ????
rakta pittakke ka??ya",,Vaidya,PL,Tu,18x4.5, To ,Vaidya,10,30,C,G,Script : tulu Kannada language
4933,865/12,"????? ????? ?????????
graha?a dh?nya dravy??i",,Jautisha,PL,TU,18x4.5 ,1 To 2,Jautisha,10,30,C,G,
4934,865/13,"????? ????
a??aka varga",,Jautisha,PL,TU,18x4.5,54 To 61,Jautisha,10,30,C ,G,
4935,865/2,"??????? ???
pa?cagavya gh?ta",,Vaidya,PL,Tu,18x4.5,54 To 1 To 55,Vaidya,12,30,C ,G,
4936,865/3,"???? ???
vajra gh?ta",,Vaidya,PL,Tu,18x4.5,55 To 56,Vaidya,12,30,C,G,
4937,865/4,"???????? ???
br?hm? gh?ta",,Vaidya,PL,Tu,18x4.5,56 To ,Vaidya,12,30,C,G,
4938,865/5,"????? ????????
m??ika ucc??an?",,Tantra Mantragama,PL,TU,18x4.5,57 To 1 To 58,Tantra Mantragama,12,30,C,G,
4939,865/6,"????? ????????? ?????
prathama ?il?ny?sa vidhi?",,Tantra Mantragama,PL,TU,18x4.5,59 To 60,Tantra Mantragama,12,30,C,GO,
4940,865/7,"????????? ????
ak??hi?i b?l?",,Purana,PL,Tu,18x4.5,60 To 1,Purana,12,30,C,G,10 Folios 
4941,865/8,"????? ?????
sa?tati si???",,Jautisha,PL,TU,18x4.5,68 To 83,Jautisha,12,30,C,G,
4942,865/9,"?????? ???
dv?da?a bh?va",,Jautisha,PL,TU,18x4.5,83 To 85,Jautisha,12,30,C,G,
4943,866/1,"???? ??????
a?auca nir?aya",???????? ????, G- Prayoga   ,PL,Tu,26x5,1 To 31, G- Prayoga   ,9,37,Inc.,OD,
4944,866/2,"???????? ??????
tri??at ?l?k?",, G- Prayoga   ,PL,Tu,26x5,86 To 90, G- Prayoga   ,9,37,C ,GO,
4945,867,"????? ???????
ta?tra samuccaya",Narayana,Tantra Mantragama,PL,TU,18x4.5,1 To 22,Tantra Mantragama,8,25,Inc.,GO,II Patala
4946,868/1,"????? ???????????
hi?d? dharma??stra",,General,PL,Tu,19x4.5,1 To 89,General,12,32,C,G,"Kannada language , scribe krsna sastri "
4947,868/2,"????? ??????? ?????
bh?t??a p???yana ka??u",,General,PL,Tu,19x4.5,90 To 107,General,12,32,C,G,
4948,868/3,"?????????? ???? ??
ko?aginarasina m?le pada",,General,PL,Tu,19x4.5 ,108 To 109,General,12,32,C,G,Kannada Language
4949,868/4,"?????????? ???? ??
ko?aginarasina m?le pada",,General,PL,Tu,19x4.5,109 To 110,General,12,32,C ,G,""""
4950,869,"???? ?????? ??????
yajña valkya sm?ti",,Smriti,PL,TU,57x6,38Folios,Smriti,10,63,Inc.,ODW ,No. of Folios Missing 
4951,870,"???? ?????? ?????? ????????
yajña valkya sm?ti vy?khy?",,Smriti,PL,TU,38x5,142Folios,Smriti,9,55,Inc.,ODW ,
4952,871/1,"????????????????
taittiriy?ra?yaka?",,aranyaka,PL,Tu,26x4,1 To 75,aranyaka,7,32,C,G,
4953,871/3,"??????????? ????
k?v?riyammana p?j?",, pooja,PL,Tu,26x4,1 To 2, pooja,7,32,C,G,
4954,871/4,"??? ????
sabh? p?j?",PL, pooja,TU,Tu,26x4,6Folios, pooja,7,32,Inc.,G,
4955,872,"????? ?????????
k???a yajusa?hit?",,Samhita,PL,Tu,37x5,1 To 154,Samhita,9,58,Inc. ,G,
4956,873,"???????
r?m?ya?a?",,Itihasa,PL,Tu,32x5,1 To 87,Itihasa,10,50,Inc.,ODW,Sundara kanda
4957,874,"????? ?????????
k???a yajusa?hit?",,Samhita,PL,Tu,44x5,1 To 65,Samhita,9,27,Inc. ,G,
4958,875,"???????????????
n?mali?g?nu??sana?",,Nighantu,PL,Tu,39x5.5,1 To 88,Nighantu,10,45,C,G,
4959,876,"??????
bh?gavata?",,Purana,PL,Tu,48x5.5,1 To 149,Purana,12,86,Inc.,G ,X Skanda
4960,877/1,"??????? ????
muh?rta padavi",,Jautisha,PL,TU,54x4.5,1 To 10,Jautisha,8,80,C,G ,
4961,877/2,"???? ???????
j?taka p?rij?ta",Vaidyanatha,Jautisha,PL,TU ,54x4.5,1 To 130,Jautisha,8,80,Inc.,G,
4962,877/3,"???? ??????
j?taka paddhati",Vaidyanatha,Jautisha,PL,TU,54x4.5,1 To 11,Jautisha,8,80,C,G,Folios No: Tulu : Tulu Script
4963,878,"????????? ????????
?i?up?lavadha vy?khy?",Mallinatha,Kavya,PL,TU,24x3.5,67folios,Kavya,7,27,Inc.,G,1-3 Sarga
4964,879,"???? ???????? ????????
ka??da siddh??ta ca?drik?",Gangadhara,Nyaya,PL,TU,24x4 ,70folios,Nyaya,7,30,Inc.,GO,
4965,880,"??????? ?????
vi?amupada lak?a?a",,Vaidya,PL,Tu,21x4,26Folios,Vaidya,6,26,Inc.,G,
4966,881,"??? ????? ?????
parama rahasya ta?tra",,Tantra Mantragama,PL,TU,22.5x4.5,12Folios,Tantra Mantragama,8,28,Inc.,OD,
4967,882,"???? ????
r??i cakra",,Jautisha,PL,TU,17.5x3.5,1 To 70,Jautisha,8,20,Inc.,OD,
4968,883,"???? ??? ?????
bh?rata kath? ma?jari",Kumara vyasa,Itihasa,PL,Tu,42x5.5 ,149folios,Itihasa,8,70,Inc.,OD,"Saipt : Tulu, Language : Kannada "
4969,884,"??????
bh?gavata?",Kumara vyasa,Purana,PL,Tu,40x5.5,28 To 414,Purana,11,45,Inc. ,OD,"VI To X Skanda, Script : Tulu, "
4970,885,"????? ????
k???a l?l?",Jayadeva,Kavya,PL,TU,34x5.5,145Folios,Kavya,11,55,Inc.,DW,"Script : Tulu, Language : Kannada"
4971,886,"???? ??? ?????
bh?rata kath? ma?jari",Jayadeva,Itihasa,PL,Tu,43x6,1 To 208,Itihasa,11,86,Inc.,GO,"End :Virata Parva Script :Tulu,"
4972,887,"???? ??? ?????
bh?rata kath? ma?jari",Jayadeva,Itihasa,PL,Tu,44x6,158folios,Itihasa,9,68,Inc.,ODW,Script - Tulu Language - Kannada
4973,888,"??????? ????
?iv?na?da padavi",,Purana,PL,Tu,44x6,86folios,Purana,9,62,Inc.,ODW,"No. Begining - No End, "
4974,889,"???? ??? ?????
bh?rata kath? ma?jari",,Itihasa,PL,Tu,37x4,125folios,Itihasa,7,55,Inc.,OD ,"Beginning From 16 Sandhi, "
4975,890,"???????
r?m?ya?a?",,Itihasa,PL,Tu,35x5,156Folios,Itihasa,7,60,Inc.,ODW,"Script : Tulu, Language : Kannada"
4976,891,"????????
pa?cata?tra",Vishnusarma,Gadya - Katha,PL,TU,27x4,1 To 120,Gadya - Katha,8,38,Inc.,G,"Script : Tulu, Language : Kannada"
4977,892,"???? ??????????
d?v? m?h?tmya?",Vishnusarma,Purana,PL,Tu,16x4,1 To 49,Purana,7,20,Inc.,OD,""""
4978,893,"????????? ??? ??????
bhagavadg?t? bh?va prak??a",Vidya Yogindra,Dvaita,PL,TU ,23x5.5,1 To 88,Dvaita,7,25,Inc.,OD,
4979,894,"????? ???????
?l?ka sa?graha?",,General,PL,Tu,23x5,1 To 44,General,8,32,C,G,Scribe : Subraya Salamakki 
4980,895,"???? ??? ?????
bh?rata kath? ma?jari",,Itihasa,PL,Tu,18x5,4 To 113,Itihasa,8,21,Inc.,ODW,"1-3 folios Missing, Scipt : Tulu, "
4981,896,"????? ????
k???a l?l?",,Itihasa,Tu,37x5,155 Folios,7,Itihasa,65,Inc.,ODW,,"Script : Tulu, Language : Kannada "
4982,897,"????? ??????
air?vata prasa?ga",,General,PL,Tu,17x4.5,1 To 75,General,9,20,Inc.,OD,Kannada Language 1st 7 folios missing
4983,899,"????? ???? ???????
kanna?a padya sa?graha?",,General,PL,Tu,23x4,17folios,General,6,32,Inc.,OD,Kannada language
4984,900,"??????? (???? ???)
r?m?ya?a? (tu?u baraha)",,Itihasa,PL,Tu,35x5,1 To 75,Itihasa,8,45,Inc.,GO,
4985,901,"???? ??????????
d?v? m?h?tmya?",,Purana,PL,Tu,18x3.5,19Folios,Purana,8,25,Inc. ,OD,""""
4986,902,"??? ?????
hora vivara?a",,Jautisha,PL,TU,35x4,133Folios,Jautisha,8,65,Inc.,OD,
