Sl.No,Ass.No,Name ,Author,Column2,Subject,Material,lang,Size,No.of F,N.of/pg,l/line,extent,condetions,info,,
6860,2016,?????????? ????,,Kannadadalli git,Geete,PL,Knn,39x3.5,15 Leaf,4,55,Inc,D/W,PÁªÀå. ¨sÀQÛ AiÉÆÃUÀ,,
6861,2017,???? ???? ?????,,Avesha baruva mamtra,Tantra-mantra-agama,PL,Knn,19.5x3.5,8 Leaf,5,25,Inc,O,,,
6862,2018,??????,????? ????????,Ramayana,Kavya,PL,Knn,54x5,1&271,9,85,C,D/W,,,
6863,2019,??????,,Bhagavatam,Puraana,PL,Knn,47x5,1&88,11,100,Inc,O,¥ÀÄgÁt,,
6864,2020,????? ???? ??????,,Kannada padya samgraha,Haadu,PL,Knn,50x3,20Leaf,4,90,Inc,D/W,,,
6865,2021,????? ??????,????? ??????????,Kaushika ramayana,Kavya,PL,Knn,39x5.5,1&221,12,60,C,G,"¸ÀA¢ü, 43&2816 ¥ÀzÀå",,
6866,2022,?????? ?????,???????? ?????????,Aditya purana,Kavya,PL,Knn,37x5.5,1&127,10,60,Inc,D/W,¥ÀÄgÁt,,
6867,2024,?????? ??????,,Vasishtha ramayana,Kavya,PL,Knn,22x5,1&160,9,35,C,G,¨ÁµÉ: ¸ÀA¸ÀÌøvÀ ¨sÀªÀ ¸ÀA. ZÉÊvÀæ §ºÀÄ¼À 10 ±À¤ªÁgÀ PÉÃ¥ÀÄ PÀÄPÉÌ UÁæªÀÄzÀ PÀÄjAiÀÄPÀAiÀÄvÀÛqÀÌ ±ÀAPÀgÀ ¨sÀlÖ,,
6868,2025,??????,,Ramayana,Yakshagaana,PL,Knn,25x4.5,2&58,7,30,Inc,D/W,,,
6869,2026,????? ?????? – ???,,Vaidya samgraha – jaina,Vaidya,PL,Knn,28.5x4,5 Leaf,6,25,Inc,G/O,,,
6870,2027,????? ?????? ,,Vaidya samgraha,Vaidya,PL,Knn,19x4,1&24,9,30,C,G,,,
6871,2028,???????? – ????????,,Kunyappa – rkard,Extra,PL,Knn,51x5,11 Leaf,5,90,Inc,O/D,1825£ÉÃ ¥ÁyğªÀ ¸ÀA. eÉÃµÀ× ±ÀÄ.9gÀ®Äè,,
6872,2029,??????- ??????? ?????? ????????? ????,,Panaj- giliyala vishnu balillaya patra,Extra,PL,Knn,42x4,18 Leaf,5,80,Inc,D/W,,,
6873,2030,????????,,Manlkka,Ganita,PL,Knn,38x3,12 Leaf,4,40,Inc,O/D,,,
6874,2031,???????? ????? ????,,Genichitu dakhal patra,Extra,PL,Knn,34x3,20 Leaf,5,30,Inc,D/W,,,
6875,2032,???????÷?? ?????? - ???,?????????,Samyakta÷va kaumudi - jaina,Kavya,PL,Knn,43x5.5,1&23,9,80,Inc,D/W,,,
6876,2033,?????? ?????? ????? ,??????????,Gummata svami charit,Kavya,PL,Knn,28x5,11&113,9,50,Inc,D/W,,,
6877,2034,????? ???? - ???,??????? ?????,Bharatesha vaibhava - jaina,Kavya,PL,Knn,22x3.5,4&90,7,35,Inc,O/D,,,
6878,2035,??????,,Bhagavatam,Puraana,PL,Knn,55x6,1&211,13,100,Inc,O/D/W,¥ÀÄgÁt,,
6879,2036,?????? - ??????,,Mathasthala - virashaiva,Extra,PL,Knn,25x5,1&66,9,40,C,G,,,
6880,2037,???????? ??? ?????? – ??????,,Siddharama vachana samgraha – virashaiva,Vacana,PL,Knn,37x5,55,10,70,Inc,D/W,,,
6881,2038,?????????? - ??????,??????? ?????,Jnanasimdhu - virashaiva,Kavya,PL,Knn,38x5,1&271,9,60,C,G,±ÀPÀ 1762 «PÁj ¸ÀA. ZÉÊvÀæ ±ÀÄzÀŞ10 ¸ÉÆÃªÀÄªÁgÀ,,
6882,2039,???????        ,????????,Mahabharata        ,Kavya,PL,Knn,35x5,1&156,11,45,C,O,,,
6883,2040,???????,,Mahabarata,Kavya,PL,Knn,38x3,1&206,5,55,Inc,O,EwºÁ¸À,,
6884,2041,???????        ,????????,Mahabharata        ,Kavya,PL,Knn,38x3,1&123,5,45,Inc,O/D,±ÀPÀ 1694& 1773 ¸ÀªÀğfvï ¸ÀA. ªÉÊ±ÀR §ºÀÄ¼À.5 °¦PÁgÀ: zÁ¸À¥Àà,,
6885,2042,????????? – ??????,,Vachanasamgraha – virashaiva,Vacana,PL,Knn,19x3,1&52,4,25,Inc,O/D/W,,,
6886,2043,???? ????,,Sharadhi bamdhana,Yakshagaana,PL,Knn,15x4.5,5&140,9,25,Inc,D/W,,,
6887,2044,??????????? ,??????,Haribhaktisara,Kavya,PL,Knn,38x3,25,6,70,Inc,D/W,,,
6888,2045,??? ????? ????? ????,,Vira samgamana chaupadi hadu,Haadu,PL,Knn,37.5x3,1&10,5,65,Inc,O/D,,,
6889,2046,???????,,Mahabharata,Kavya,PL,Knn,68x6,1&117,9,100,Inc,D/W,,,
6890,2047/1,??????? ???? ???????? ????,,?littu shakuna falavlla namag,Haadu,PL,Knn,22x6,13&,12,40,C,G,,,
6891,2047/1,?????????????,,Siddhivinayakana,Haadu,PL,Knn,22x6,1&2,12,40,C,G,,,
6892,2047/11,????????? ????? ?? ????,,Ramamamtrava japis he manuja,Haadu,PL,Knn,22x6,14,12,40,C,G,,,
6893,2047/111,???? ???????,,Arena maduvaru,Haadu,PL,Knn,22x6,76&1&77,12,40,C,G,,,
6894,2047/117,??? ??????? ?????,,Nija varuttada vairiya,Haadu,PL,Knn,22x6,81&1&82,12,40,C,G,,,
6895,2047/12,??? ????? ?????? ??????????,,Yava kulavo svami tiliyabaradu,Haadu,PL,Knn,22x6,14&15,12,40,C,G,,,
6896,2047/13,??????? ????????????,,Hariyadhika haranadhikayamdyu,Haadu,PL,Knn,22x6,15,12,40,C,G,,,
6897,2047/14,????? ???????????????,,Harihara rasariyamchyalariy,Haadu,PL,Knn,22x6,15&1&,12,40,C,G,,,
6898,2047/15,????? ??? ???? ???????? ???????,,Hariye gati siri virimchya shivarig,Haadu,PL,Knn,22x6,16&1&17,12,40,C,G,,,
6899,2047/16,???? ??? ????? ??? ???? ??????,,Namma deva nimma deva Enna bediro,Haadu,PL,Knn,22x6,17,12,40,C,G,,,
6900,2047/17,??????????? ????,,Shivaninmtah papi,Haadu,PL,Knn,22x6,17&1&19,12,40,C,G,,,
6901,2047/18,???????? ???????,,Ikkalar kaiEmjalu,Haadu,PL,Knn,22x6,19&1&20,12,40,C,G,,,
6902,2047/19,???? ???? ???? ?????,,Saku saku manuja sevya,Haadu,PL,Knn,22x6,21&,12,40,C,G,,,
6903,2047/2,?????????? ??????????????,,Sakalavllavu harisevyanniru,Haadu,PL,Knn,22x6,2,12,40,C,G,,,
6904,2047/21,?? ????????????,,Patha nadyadayiyya,Haadu,PL,Knn,22x6,22&,12,40,C,G,,,
6905,2047/3,??????? ???? ???????? ????,,?littu shakuna falavlla namag,Haadu,PL,Knn,22x6,2&1&3,12,40,C,G,,,
6906,2047/31,? ??????????????????????,,I seridakamkshyinnyatakai,Haadu,PL,Knn,22x6,28&29,12,40,C,G,,,
6907,2047/4,?????? ????????? ??????,,Elayya blagayitu elayya,Haadu,PL,Knn,22x6,3&1&5,12,40,C,G,,,
6908,2047/41,??????? ???? ?????,,Adhanadaru kuda vidhar,Haadu,PL,Knn,22x6,35&,12,40,C,G,,,
6909,2047/5,??????? ??????? ????????,,Hariyamdu manadalli maradmm,Haadu,PL,Knn,22x6,5&,12,40,C,G,,,
6910,2047/51,?????? ??????????????????,,Gamgadhi tirthapalimgalanivudu,Haadu,PL,Knn,22x6,40&1&41,12,40,C,G,,,
6911,2047/6,???? ????? ???? ??????,,Shri hariya charanava nnv,Haadu,PL,Knn,22x6,6&,12,40,C,G,,,
6912,2047/61,???????? ???? ???????,,Bayanarida mel ekamtave,Haadu,PL,Knn,22x6,45&1&46,12,40,C,G,,,
6913,2047/7,??????? ?????,,Gajemdra moksha,Haadu,PL,Knn,22x6,6&1&9,12,40,C,G,,,
6914,2047/71,??? ??? ????????????????,,Rama rama shriramavnniro,Haadu,PL,Knn,22x6,50&1&51,12,40,C,G,,,
6915,2047/8,???????????????,,Ballavarmdniparu,Haadu,PL,Knn,22x6,9&1&,12,40,C,G,,,
6916,2047/81,??? ????????? ???,,Elu maruladamma elu,Haadu,PL,Knn,22x6,58&,12,40,C,G,,,
6917,2047/9,?????? ?????????? ????????,,Prayana baruvudakk shubhamastu,Haadu,PL,Knn,22x6,10&13,12,40,C,G,,,
6918,2047/91,??? ????????? ?????,,Mosa hodnalla vithala,Haadu,PL,Knn,22x6,63&,12,40,C,G,,,
6919,2048,?????? ????????,,Navaratna chimtamani,Jyotisha,PL,Knn,18x3,1&108,4,30,C,G,§AUÁr CgÀªÀÄ£É ®PÀÌ¥Àà CgÀ¸ÀgÁzÀ §AUÀgÁd MqÉAiÀÄgÀ ¸ÀéºÀ¸ÀÛ §gÀºÀ,,
6920,2049,??????????? ???? ,??????,Brahmottara kamda,Kavya,PL,Knn,50x6,1&77,11,95,Inc,G,G½zÀ ¥ÀvÀæUÀ¼À°è vÀÄ¼ÀÄ °¦AiÀÄ°è UÀÈºÀ¥ÀæAiÉÆÃUÀ& zsÀªÀÄğ¥ÀæªÀÈwÛ JA§ PÀÈwUÀ½ªÉ.,,
6921,2050/1,??????? ???????,??????????,Dashavatara stotra,Stotra,PL,Knn,48x4,20,4,65,Inc,D/W,¨ÁµÉ: ¸ÀA¸ÀÌøvÀ,,
6922,2050/2,?????? ????? ??? ???????,?????,Vishnu sahasra nama stotra,Stotra,PL,Knn,48x4,20&27,4,65,Inc,D/W,¨ÁµÉ: ¸ÀA¸ÀÌøvÀ,,
6923,2051,??????,,Bhagavatam,Puraana,PL,Knn,48x6,1&74,11,90,Inc,O,¥ÀÄgÁt,,
6924,2052/1,???????,????? ?????,Mahabharata,Kavya,PL,Knn,37x4,1&18,6,50,Inc,O,,,
6925,2052/2,??????????? ???? ,??????,Brahmottara kamda,Kavya,PL,Knn,37x4,1&115,6,50,Inc,O,UÀzÀå,,
6926,2053,???????,????? ?????,Mahabharata,Kavya,PL,Knn,39x5,1&52,12,70,Inc,O,¸À¨sÁ¥ÀªÀğ,,
6927,2054,??????,,Bhagavatam,Puraana,PL,Knn,35x5,1&205,9,55,Inc,O,¥ÀÄgÁt zÀ±ÀªÀÄ¸ÀÌAzÀ& gÁPÀë¸À ¸ÀA. ¨sÁzÀæ¥ÀzÀ §ºÀÄ¼À10 °¦PÁgÀ: ¸ÁAvÀåAiÀÄå,,
6928,2055,????? ????,,Virata parva,Yakshagaana,PL,Knn,18x4.5,1&44,8,25,Inc,D/W,,,
6929,2057/1,?????? ?????? – ??????,????????,Anubhava mudr – virashaiva,Kavya,PL,Knn,38x5,1&52,10,70,Inc,O,,,
6930,2057/2,??? ???? – ??????,????????? ????????? ,Mano vijaya – virashaiva,Kavya,PL,Knn,35x5,4&62,10,70,Inc,G/O,,,
6931,2057/3,?????? ??????? ???? ???????? – ??????,??????????,Karasthala nagalimga devara trividhi – virashaiva,Kavya,PL,Knn,38x5,1&12,10,70,C,G/O,,,
6932,2058,????????????? ??????,,Jyotirjnana paddhati,Jyotisha,PL,Knn,20x5,1&62,7,25,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
6933,2059,??????? ,????????,Mahabharata,Kavya,PL,Knn,35x5,1&158,10,55,Inc,G/O,,,
6934,2060,????????? – ???,??????,Vaidyamrrita – jaina,Vaidya,PL,Knn,25x6,1&116,9,50,C,O/D/W,,,
6935,2061/1,???? ??????? - ???,,Karma prakrriti - jaina,Siddanta,PL,Knn,35x4.5,1&8,7,75,Inc,O/D,,,
6936,2061/3,?????? ?????? - ???,,Svarupa sambhodhana - jaina,Kavya,PL,Knn,35x4.5,22&48,7,75,Inc,O/D,,,
6937,2062,???? ???????? - ???,?????,Sagara dharmamrrita - jaina,Haadu,PL,Knn,35x4,1&175,7,60,Inc,G,,,
6938,2063/1,????????? – ???,???????,Shalihotra – jaina,Vaidya,PL,Knn,22x4.5,1&4,7,35,C,G,,,
6939,2063/2,???????????? - ??? (????????),,Ashvashastram - jaina (pashuvaidya),Vaidya,PL,Knn,22x4.5,41&96,7,35,Inc,G,,,
6940,2064,???????? ??????,,Dhanvamtari nighamtu,Nighantu,PL,Knn,23x3.5,1&51,8,50,C,G,1&5£ÉÃJªÀUÀğ,,
6941,2065,????????? ????? – ???,??? ?????,Saguvankana charit – jaina,Vaidya,PL,Knn,21x5,1&37,6,30,C,G,,,
6942,2066,????? ??????,,Vaidya samgraha,Vaidya,PL,Knn,18x5,1&42,13,30,Inc,O,,,
6943,2067,????? ?????? – ???,,Vaidya samgraha – jaina,Vaidya,PL,Knn,17x5,37 Leaf,7,20,Inc,D/W,,,
6944,2068/1,???????????????,,Padmambikgarati,Haadu,PL,Knn,16x4.5,1&4,7,25,C,G,,,
6945,2068/2,???? ??????????????,,Shri surapatinutabhasura,Haadu,PL,Knn,16x4.5,14Leaf,7,25,C,G,,,
6946,2069,??????????? ???? ??????,???? ????,Prashnottara ratna malika,Kavya,PL,Knn,18x5,1&9,9,25,Inc,G/O,¨ÁµÉ: ¸ÀA¸ÀÌøvÀ,,
6947,2071,??????? ????,,Nitishataka tika,Niti shataka,PL,Knn,,1&24,6,35,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ PÀ£ÀßqÀ nÃPÉ,,
6948,2072/1,????????? ????,,Tamradhvaja kalaga,Yakshagaana,PL,Knn,31x4,1&26,9,65,Inc,O,,,
6949,2072/2,??????? ???????,,Pallaviva charitr,Yakshagaana,PL,Knn,31x4,1&4,9,65,Inc,G,,,
6950,2073,?????????? ????,,Karnarjuna kalaga,Yakshagaana,PL,Knn,38x4,1&46,6,50,C,O/D,,,
6951,2074,????? ??????,,Vaidya samgraha,Vaidya,PL,Knn,27x5,17&21,10,50,Inc,O,,,
6952,2075,?????? ???? ???,,Gurjara devana kath,Kavya,PL,Knn,29x5,67 Leaf,9,40,Inc,D/W,,,
6953,2076/2,????öÊ?????????? - ???,??????????,Tröêvarnikachara - jaina,Siddanta,PL,Knn,45x4,36&115,6,90,C,G,,,
6954,2076/3,???? ?????? ????? ?????? – ???,,Nadi karmana mamtra prayoga – jaina,Tantra-mantra-agama,PL,Knn,45x4,116&122,6,90,C,G,,,
6955,2076/4,????????? ???? - ???,???????????? ???,Pratishtha kalpa - jaina,Siddanta,PL,Knn,45x4,123&172,6,90,C,G,,,
6956,2076/5,?????? ????????? – ???,???????,Sukti muktavali – jaina,Stotra,PL,Knn,45x4,173&179,6,90,C,G,,,
6957,2076/6,????? ????? ????? ????????? – ???,????????,Sajjana chitta vallabha vyakhyana – jaina,Kavya,PL,Knn,45x4,180&181,6,90,C,G,,,
6958,2077,?? ??? ????,,Lava kusha kalaga,Yakshagaana,PL,Knn,37x4,1&30,6,75,Inc,O/D/W,,,
6959,2078,???? ?????? ????? ??? – ??? ,,Adhika saptami nompi kath – jaina,Kathe,PL,Knn,49x5,151&155,6,90,C,O,,,
6960,2078,???? ??????? ????? ??? – ??? ,,Anamta saumdarya nompi kath – jaina,Kathe,PL,Knn,49x5,124&,6,90,C,O,,,
6961,2078,???? ??????? ????? ??? – ??? ,,Anamta saumdarya nompi kath – jaina,Kathe,PL,Knn,49x5,159&,6,90,C,O,,,
6962,2078,?????????? ???????? ????? - ???,,Anamtabhavakarma harashtami nompi - jaina,Kathe,PL,Knn,49x5,82&85,6,90,C,O,,,
6963,2078,????????? ????? ??? – ??? ,,Ayidglada nompi kath – jaina,Kathe,PL,Knn,49x5,114&115,6,90,C,O,,,
6964,2078,????? ???? ?????? ???,,Imdra dhvaja nompiya kath,Kathe,PL,Knn,49x5,149&150,6,90,C,O,,,
6965,2078,????????? ????? ??? – ??? ,,Kamdarpasara nompi kath – jaina,Kathe,PL,Knn,49x5,161&162,6,90,C,O,,,
6966,2078,?????????? ????? ??? – ??? ,,Kalyanamal nompi kath – jaina,Kathe,PL,Knn,49x5,161&,6,90,C,O,,,
6967,2078,?????????? ????? ??? – ??? ,,Kalyanamal nompi kath – jaina,Kathe,PL,Knn,49x5,134&138,6,90,C,O,,,
6968,2078,?????????? ????? ??? – ??? ,,Kalyanatilaka nompi kath – jaina,Kathe,PL,Knn,49x5,116&118,6,90,C,O,,,
6969,2078,??????? ????? ??? – ???,,Kalpakuja nompi kath – jaina,Kathe,PL,Knn,49x5,91&92,6,90,C,O,,,
6970,2078,???? ???? ????? ??? – ???,,Kevala bodhi nompi kath – jaina,Kathe,PL,Knn,49x5,158&,6,90,C,O,,,
6971,2078,??????? ????? ??? – ??? ,,Ganadharavalaya nompi kath – jaina,Kathe,PL,Knn,49x5,101&104,6,90,C,O,,,
6972,2078,???? ????? ??? – ??? ,,Gauri nompi kath – jaina,Kathe,PL,Knn,49x5,104&106,6,90,C,O,,,
6973,2078,??????? ????? ??? – ??? ,,Chakravala nompi kath – jaina,Kathe,PL,Knn,49x5,138&141,6,90,C,O,,,
6974,2078,??????????? ????? ??? – ???,,Charitramanada nompi kath – jaina,Kathe,PL,Knn,49x5,115&116,6,90,C,O,,,
6975,2078,??????????? ????? ??? – ???,,Jivadayashtami nompi kath – jaina,Kathe,PL,Knn,49x5,122&124,6,90,C,O,,,
6976,2078,??????????? ????? ??? – ??? ,,Jivadayashtami nompi kath – jaina,Kathe,PL,Knn,49x5,202&210,6,90,C,O,,,
6977,2078,????? ?????? ????? ??? – ??? ,,Tamgalu tavanidhi nompi kath – jaina,Kathe,PL,Knn,49x5,92&93,6,90,C,O,,,
6978,2078,???????????? ????? ??? – ??? ,,Tribhuvanatilaka nompi kath – jaina,Kathe,PL,Knn,49x5,87&88,6,90,C,O,,,
6979,2078,??????? ????? ????? ??? – ??? ,,Triloka tadig nompi kath – jaina,Kathe,PL,Knn,49x5,106&111,6,90,C,O,,,
6980,2078,????????? ???? ????? ??? – ??? ,,Trailokya bhushana nompi kath – jaina,Kathe,PL,Knn,49x5,150&151,6,90,C,O,,,
6981,2078,????????????? ????? ??? – ??? ,,Durishvatadigya nompi kath – jaina,Kathe,PL,Knn,49x5,146&149,6,90,C,O,,,
6982,2078,????? ?????? ????? ??? – ??? ,,Durita nivarana nompi kath – jaina,Kathe,PL,Knn,49x5,15&160,6,90,C,O,,,
6983,2078,??????? ?????? ????? ??? – ??? ,,Durgati nivarana nompi kath – jaina,Kathe,PL,Knn,49x5,201&202,6,90,C,O,,,
6984,2078,?????? ????? ????? ??? – ??? ,,Navanidhi bhamdara nompi kath – jaina,Kathe,PL,Knn,49x5,85&87,6,90,C,O,,,
6985,2078,??????? ????? ??? – ???,,Niratishaya nompi kath – jaina,Kathe,PL,Knn,49x5,111&112,6,90,C,O,,,
6986,2078,????? ???? ????? ??? – ??? ,,Nitya sukhada nompi kath – jaina,Kathe,PL,Knn,49x5,79&82,6,90,C,O,,,
6987,2078,??????? ?????? ????? ??? – ???,,Nirguna saptami nompi kath – jaina,Kathe,PL,Knn,49x5,181&185,6,90,C,O,,,
6988,2078,????????? ????? ??? – ??? ,,Pamchalankara nompi kath – jaina,Kathe,PL,Knn,49x5,155&156,6,90,C,O,,,
6989,2078,????????? ????? ??? – ???,,Pamchakalyana nompi kath – jaina,Kathe,PL,Knn,49x5,88&89,6,90,C,O,,,
6990,2078,?? ??????? ????? ??? – ??? ,,Fala mamgalavara nompi kath – jaina,Kathe,PL,Knn,49x5,156&158,6,90,C,O,,,
6991,2078,??????? ????? ??? – ??? ,,Migilarala nompi kath – jaina,Kathe,PL,Knn,49x5,89&91,6,90,C,O,,,
6992,2078,???????? ????? ??? – ??? ,,Rupatishaya nompi kath – jaina,Kathe,PL,Knn,49x5,113&114,6,90,C,O,,,
6993,2078,????????? ????? ??? – ??? ,,Shivaratri nompi kath – jaina,Kathe,PL,Knn,49x5,185&189,6,90,C,O,,,
6994,2078,?????????? ????? ??? – ???,,Shrutaskamda nompi kath – jaina,Kathe,PL,Knn,49x5,98&101,6,90,C,O,,,
6995,2078,????? ???? ????? ??? – ??? ,,Sugamdha dashami nompi kath – jaina,Kathe,PL,Knn,49x5,162&165,6,90,C,O,,,
6996,2078,????????? ????? ??? – ???,,Hidiyakki nompi kath – jaina,Kathe,PL,Knn,49x5,93&95,6,90,C ,O,,,
6997,2078/1,?????????? ????? ??? – ???,,Dashalakshanika nompi kath – jaina,Kathe,PL,Knn,49x4,35&40,6,90,C,O,,,
6998,2078/1,???????? ????? ??? – ???,,Namdishvara nompi kath – jaina,Kathe,PL,Knn,49x4,1&6,6,90,C,O,,,
6999,2078/11,????????? ????? ??? – ???,,Shodashabhavana nompi kath – jaina,Kathe,PL,Knn,49x4,40&48,6,90,C,O,,,
7000,2078/12,???????? ????? ??? – ??? ,,Bhavyanamda nompi kath – jaina,Kathe,PL,Knn,49x4,48&49,6,90,C,O,,,
7001,2078/13,?????????? ????? ??? – ??? ,,Labdividhana nompi kath – jaina,Kathe,PL,Knn,49x4,49&53,6,90,C,O,,,
7002,2078/14,????????? ????? ??? – ???,,Adityavara nompi kath – jaina,Kathe,PL,Knn,49x5,53&57,6,90,C,O,,,
7003,2078/15,????????? ????? ??? – ??? ,,Chamdanashashthi nompi kath – jaina,Kathe,PL,Knn,49x5,57&63,6,90,C,O,,,
7004,2078/16,??????????? ????? ??? – ??? ,,Karmanirjar nompi kath – jaina,Kathe,PL,Knn,49x5,63&66,6,90,C,O,,,
7005,2078/17,?????????? ????? ??? – ??? ,,Pushfamjali nompi kath – jaina,Kathe,PL,Knn,49x5,66&72,6,90,C,O,,,
7006,2078/18,????? ???????? ????? ??? – ???,,Bhavaroga harashtami nompi kath – jaina,Kathe,PL,Knn,49x5,72&74,6,90,C,O,,,
7007,2078/19,?????????????? ????? ??? – ??? ,,Sarvarthasiddhi nompi kath – jaina,Kathe,PL,Knn,49x5,74&75,6,90,C,O,,,
7008,2078/2,????? ?????? ????? ??? – ??? ,,Vastu kalyana nompi kath – jaina,Kathe,PL,Knn,49x4,6&9,6,90,C,O,,,
7009,2078/21,?????? ????????? ????? ??? – ???,,Kaivalya sukhashtami nompi kath – jaina,Kathe,PL,Knn,49x5,77&79,6,90,C,O,,,
7010,2078/3,????????? ????? ??? – ??? ,,Siddhachakra nompi kath – jaina,Kathe,PL,Knn,49x4,9&13,6,90,C,O,,,
7011,2078/31,????? ????? ??? – ??? ,,Anatiya nompi kath – jaina,Kathe,PL,Knn,49x5,95&98,6,90,C,O,,,
7012,2078/4,????????? ????? ??? – ???,,Muktavali nompi kath – jaina,Kathe,PL,Knn,49x4,13&16,6,90,C,O,,,
7013,2078/41,??????? ???? ????? ??? – ??? ,,Triloka bhushana nompi kath – jaina,Kathe,PL,Knn,49x5,116&,6,90,C,O,,,
7014,2078/5,????? ????? ??? – ???,,Pamchami nompi kath – jaina,Kathe,PL,Knn,49x4,16&20,6,90,C,O,,,
7015,2078/51,??????????? ????? ??? – ??? ,,Sarvasampatkara nompi kath – jaina,Kathe,PL,Knn,49x5,142&143,6,90,C,O,,,
7016,2078/6,???? ????? ??? – ??? ,,Anamta nompi kath – jaina,Kathe,PL,Knn,49x4,20&28,6,90,C,O,,,
7017,2078/61,??????? ????? ??? – ???,,Akshatya nompi kath – jaina,Kathe,PL,Knn,49x5,159&,6,90,C,O,,,
7018,2078/7,???? ???????? ????? ??? – ??? ,,Sapta paramasthana nompi kath – jaina,Kathe,PL,Knn,49x4,28&31,6,90,C,O,,,
7019,2078/71,????????? ????? ??? – ???,,Nityanamda nompi kath – jaina,Kathe,PL,Knn,49x5,199&201,6,90,C,O,,,
7020,2078/8,???? ????? ????? ??? – ??? ,,Nagara pamchami nompi kath – jaina,Kathe,PL,Knn,49x4,31&34,6,90,C,O,,,
7021,2078/9,??????? ????? ??? – ??? ,,Saubhagya nompi kath – jaina,Kathe,PL,Knn,49x4,34&35,6,90,C,O,,,
7022,2079,?????? - ??? ?????,,Bhagavatam - dashama skamda,Puraana,PL,Knn,39x6,1&61,11,80,Inc,G/O,¥ÀÄgÁt,,
7023,2080,???????,????????,Mahabharata,Kavya,PL,Knn,34x5,1&135,9,75,Inc,D/W,,,
7024,2081,??????????? ???? ,??????,Brahmottara kamda,Kavya,PL,Knn,34x5,1&155,9,70,C,O/D,,,
7025,2082,???????,,Mahabharata,Kavya,PL,Knn,40x5,4&234,10,105,Inc,D/W,,,
7026,2083,?????? ?????,???????? ?????????,Aditya purana,Kavya,PL,Knn,46x4.5,2&149,8,115,Inc,O/D,"ªÉÊ¢PÀ, ¥ÀÄgÁt ªÁ¸ÀÄQzsÁgÀ ZÀjvÀ",,
7027,2084,?????? ,????? ????????,Ramayana,Kavya,PL,Knn,53x6,1&195,10,90,C,O/D/W,EwºÁ¸À,,
7028,2085,????? ????????? ?????? ????? – ???,,Venura gomateshvara svami charit – jaina,Kavya,PL,Knn,31x3,1&101,4,40,Inc,D/W,,,
7029,2086,??????? ????????,,Prashna chimtamani,Jyotisha,PL,Knn,11.5x5,1&48,9,15,C,G/O,,,
7030,2087,???????? ????? – ???,??????? ???????,Nagakumara charit – jaina,Kavya,PL,Knn,50x6,1&110,12,115,C,O,,,
7031,2088,???? ????? ????? – ???,?????,Nemi jinesha samgati – jaina,Kavya,PL,Knn,38x5,1&244,8,60,C,O,,,
7032,2089,??????? ????,,Pamchayatana puj,Prayoga,PL,Knn,21x5,1&10,11,40,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
7033,2090,??????,,Bhagavatam,Puraana,PL,Knn,45x5,1&297,10,90,Inc,D/W,¥ÀÄgÁt,,
7034,2091,???????,,Mahabharata,Kavya,PL,Knn,35x5,1&219,10,70,Inc,O,"¨Á®¸ÀÄ§æªÀÄtå ¨sÀlÖ, & vÉÆÃlzÀ ªÀÄ£É",,
7035,2092,???????,????? ?????,Mahabharata,Kavya,PL,Knn,46x3,1&39,6,70,Inc,D/W,,,
7036,2093,??????,????????,Ramayana,Kavya,PL,Knn,39.5x4,1&93,7,100,Inc,O,¨ÁµÉ: ¸ÀA¸ÀÌøvÀ ¸ÀÄAzÀgÀ PÁAqÀ,,
7037,2094,?????? ???? – ???,????????????????,Kalyana karaka – jaina,Vaidya,PL,Knn,21x4,1&192,9,40,Inc,G/D,,,
7038,2095,??????,,Pamchavati,Yakshagaana,PL,Knn,23x5,32&68,8,50,Inc,D/W,,,
7039,2096,"???, ????, ???????, ????",,"Vara, rashi, nakshatra, tithi",Jyotisha,PL,Knn,43x5,1&10,6,50,Inc,G,,,
7040,2097,?????-????? ??????,,Tamtra-mantra samgraha,Tantra-mantra-agama,PL,Knn,15x4,43,6,40,Inc,O,,,
7041,2098,????? ??? ?????,,Akshi roga nidhana,Vaidya,PL,Knn,37x4,1&30,7,70,Inc,D,,,
7042,2100,??????,????????????,Bhagavatam,Puraana,PL,Knn,50x6,201&359,10,90,Inc,O/D,"zÁ¤UÀ¼ÀÄ: ²æÃ Dgï. J¸ï, ¨sÀlÖ, CZÀğPÀgÀÄ, ²æÃ PÀzÀA¨ÉÃ±ÀégÀ£À zÉÃªÁ®AiÀÄ, ºÉUÀÎgÀuÉ.      ²ªÀªÉÆUÀÎ vÁ®ÆPÀÄ",,
7043,2102/1,?????? ????,,Kushalavara kalaga,Yakshagaana,PL,Knn,40x3.5,1&48,6,75,C,D/W,,,
7044,2102/2,????? ??????,,Airavata prasamga,Yakshagaana,PL,Knn,40x3.5,18,6,75,Inc,D/W,,,
7045,2103,??????,,Ramayana,Yakshagaana,PL,Knn,39x4,46,7,110,Inc,O/D,,,
7046,2104,????? ?????? - ???,,Vaidya samgraha - jaina,Vaidya,PL,Knn,21.5x5,1&12,9,35,Inc,G/O,,,
