Sl.No,Ass.No,Name ,Author,Column2,Subject,Material,lang,Size,No.of F,N.of/pg,l/line,extent,condetions,info,,
101,30/7,????????? ?????? – ??????,??????,Basavapuranada namdya – virashaiva,Stotra,PL,Knn,32x5,12&13,9,70,C,G,,,
102,30/8,??????? ???????? ?????? – ??????,??????? ??????,Kalyanada svamigala namdya – virashaiva,Stotra,PL,Knn,32x5,13&16,9,70,C,G,,,
103,30/9,?????????? ??????? ?????? – ??????,?????? ?????????,Siddheshvara stotra namdya – virashaiva,Stotra,PL,Knn,32x5,16&18,9,70,C,G,,,
104,31,???????? ???? ????? - ??????,??????,Basaveshvara devara purana - virashaiva,Kavya,P,Knn,32x11,1&187,12,50,Inc,D/W,,,
105,31/1,??????? ????? – ??????,,Uddharan sambandha – virashaiva,Tantra-mantra-agama,PL,Knn,30x6,1&23,13,50,C,G,,,
106,31/2,?????????? ???? – ??????,?????? ???????,Hattmbappa tik – virashaiva,Kavya,PL,Knn,30x6,24&31,13,50,C,G,,,
107,32,???????????? ????? - ??????,????? ????????????,Shamkaradasimayya purana - virashaiva,Kavya,P,Knn,33x10.5,1&72,12,50,C,G/O,,,
108,32/1,????? ??????? - ??????,????????????,Prabhutaravali - virashaiva,Kavya,PL,Knn,33.5x6,1&10,9,50,C,O,,,
109,32/2,???????? ??????? - ??????,?????????,Mulasutra taravali - virashaiva,Kavya,PL,Knn,33.5x6,10&16,9,50,C,G,,,
110,32/3,???????? ??? – ??????,,Bidisvara vachana – virashaiva,Vacana,PL,Knn,33.5x6,17&19,9,50,C,O,,,
111,32/4,???????? ??? - ??????,,Bhadrakali vadaba - virashaiva,Kavya,PL,Knn,33.5x6,19&20,9,50,C,G/O,,,
112,32/5,??????? ??????? – ??????,???????????,Kravamji svaravachana – virashaiva,Vacana,PL,Knn,33.5x6,20&23,9,50,C,G/O,,,
113,32/6,?????? - ??????,?????????,Kolupada - virashaiva,Haadu,PL,Knn,33.5x6,23&26,9,50,C,O,,,
