SL.No,Ass.No,Subject,Author,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
5227,972/1,"??? ???????
r?ma stuti?",,PL,Te,36.5x4,1 To 2,Stotra,9,60,C,OD,
5228,972/10,"?????????? ????
k???ar?yalu padya",,PL,Te,36.5x4,17 To 18,General,9,60,C,G,
5229,972/11,"???? ???? ????
r?ju r?yala padya",,PL,Te,36.5x4,19 To 20,General,9,60,C,G,
5230,972/12,"?????? ????
hanuma?ta ?ataka?",,PL,Te,36.5x4,22,Stotra,9,60,C,G,
5231,972/13,"???????? ?????????
br?hmala birud?va?i",,PL,Te,36.5x4,23 To 24,General,9,60,C,G,
5232,972/14,"???? ?????? ???????? ??
gu??a vibhuni narasi?galu pada",,PL,Te,36.5x4,25 To 26,General,9,60,C,G,
5233,972/15,"?????? ?????? ??
cikka?a ma?tri pada",,PL,Te,36.5x4,29 To ,General,9,60,C,G,
5234,972/16,"????? ??????
r?yani bh?skara",,PL,Te,36.5x4,30 To 31,General,9,60,C,G,
5235,972/18,"?????? ????
n?si?ha ?ataka?",,PL,Te,36.5x4,36 To 38,Stotra,9,60,C,G,
5236,972/19,"????????? ????
vijaya?puri ?ataka?",,""" ",Te,36.5x4,39 To ,Stotra,9,60,Inc.,G,
5237,972/2,"?????? ????
raghupati ?ataka?",,PL,Te,36.5x4,4 To 5,Stotra,9,60,Inc.,GO,
5238,972/20,"?????? ????
cau?appa ?ataka?",,PL,Te,36.5x4,42 To 44,Stotra,9,60,C,G,
5239,972/21,"????? ??????? ????
g?p?la cinnani padya",,PL,Te,36.5x4,45 To ,General,9,60,C,G,
5240,972/22,"?????? ???????
vi??hala hari?ataka?",,""" ",Te,36.5x4,46,Stotra,9,60,C,G,
5241,972/23,"??????? ????
nar??dra ?ataka?",,PL,Te,36.5x4,47 To ,Stotra,9,60,C,G,
5242,972/24,"???????? ????
?a?bhuli?ga ?ataka?",,PL,Te,36.5x4,48,Stotra,9,60,C,G,
5243,972/25,"???????? ????
k??ahasti ?ataka?",,PL,Te,36.5x4,49 To 52,Stotra,9,60,C,G,
5244,972/26,"??????? ????
ve?ka???a ?ataka?",,PL,Te,36.5x4,53 To 67,Stotra,9,60,C,G,
5245,972/27,"???????? ?????? ????
lalit??gi m?hini padya",,PL,Te,36.5x4,78,General,9,60,C,G,
5246,972/28,"????????
?ata?l?ki",,PL,Te,36.5x4,79 To 85,Itihasa,9,60,C,G,
5247,972/3,"????????????? ????
vikram?rkuni padya",,PL,Te,36.5x4,6 To 7,General,9,60,C,G,
5248,972/30,"???? ????
v?mana ?ataka?",,PL,Te,36.5x4,87 To 88,Stotra,9,60,Inc.,G,
5249,972/31,"?? ??? ????
bh? r?ma ?ataka?",,PL,Te,36.5x4 ,89 To 90,Stotra,9,60,C,G,
5250,972/32,"?????? ?????????
r?m?ya?a r?m???aka?",,PL,Te,36.5x4,91 To 94,Stotra,9,60,C,G,
5251,972/33,"????? ??? ??????
bukka r?ja padyalu",,PL,Te,36.5x4,95 To 97,General,9,60,C,G,
5252,972/34,"???????? ????
narasar?yani padya",,PL,Te,36.5x4 ,99 To 100,General,9,60,C,G,
5253,972/35,"??????????? ????
si?ganama?tri ?ataka?",,PL,Te,36.5x4,101,Stotra,9,60,Inc,G,
5254,972/36,"???? ?????
ga?g? kum?ra",,PL,Tu,,,Stotra,,,,,
5255,972/37,"???????? ????
tammavalya padya",,PL,Te,36.5x4 ,103 To 1 To 107,General,9,60,C,G,
5256,972/38,"?????????????????
s?ryan?r?ya????aka?",,PL,Te,36.5x4,107 To 113,Stotra,9,60,C,G,
5257,972/39,"????? ???????
g?hya pray?ga?",,PL,Te,36.5x4,114 To 115, G- Prayoga   ,9,60,C,G,
5258,972/4,"????????????????? ??????
vikram?rkuni?ini m?lik?",,PL,Te,36.5x4 ,7 To 8,General,9,60,C,G,
5259,972/40,"?????? ???????
tav??gu pray?ga?",,PL,Te,36.5x4,115 To , G- Prayoga   ,9,60,C,G,
5260,972/41,"????? ????
vai??la padya",,PL,Te,36.5x4,118 To 123,General,9,60,C,G,
5261,972/42,"??? ???? ?? ???? ????
p?la muni jana h?daya l?l?",,PL,Te,36.5x4 ,1 To 11,General,7,55,C,G,
5262,972/43,"???????????? ???
?r?k???ar?ja b?pa",,PL,Te,36.5x4,35,General,7,55,C,G,
5263,972/5,"?????? ????
bh?jar?ja padya",,PL,Te,36.5x4,9 To 10,General,9,60,C,G,
5264,972/6,"???? ????? ?????? ????
ca?paka harihara d?var?ya padya",,PL,Te,36.5x4 ,12 To ,General,9,60,C,G,
5265,972/7,"????????? ????
acyutar?ya padya",,PL,Te,36.5x4,13 To ,General,9,60,C,G,
5266,972/8,"????? ????? ????
prau?a d?varala padya",,PL,Te,36.5x4,14 To ,General,9,60,C,G,
5267,972/9,"??????????? ????
narasi?har?yalu padya",,PL,Te,36.5x4,15 To 16,General,9,60,C,G,
5268,973,"????? ???????
vaidya sa?graha?",,PL,Te,43x4,1 To 125,Vaidya,7,65,Inc.,DW,
5269,974,"???? ??????
nai?adha pur??a?",,PL,Te,25.5x2.5,1 To 108,Purana,6,50,C,GO,"Script : Telugu, Language : Telugu"
5270,975,"???????? ?????
vy?pti lak?a?a",,PL,Te,45x3.5,18Folios,Nyaya,6,75,Inc.,ODW,
5271,976,"??????? ???????
upani?at sa?graha?",,PL,Te,43x4,48leaves,Upanisat,7,95,Inc.,OD,
5272,977,"?????? ??? ???????
brahma m?dha pray?ga?",,PL,Te.,46x3.5,33Folios, G- Prayoga   ,6,75,Inc.,ODW,
5273,978,"???? ???????
k?raka prakara?a?",,PL,Te,40x3.5,11 To ,Vyakarana,6,52,Inc.,ODW ,
5274,979,"????? ???????
vaidya sa?graha?",,PL,Te,16x3.5,1 To 21,Vaidya,6,20,Inc.,OD,
5275,980,"????? ???????
vaidya sa?graha?",,PL,Te,14x3.5,30Folios,Vaidya,7,25,C ,OD,
5276,981,"???????????? ??? ??????
vi?vad?bhir?ma v?ra narasi?ha",,PL,Te,30x3,1 To 55,Kavya,4,30,C,ODW,"Script : Telugu, Language : Telugu"
5277,982,"???? ???????
gau?i pra?n?",,PL,Te,22x3.5,1 To 5,Jautisha,6,22,Inc.,OD,
5278,983,"????? ???????
vaidya sa?graha?",,PL,Te,15x3,1 To 12,Vaidya,6,20,Inc.,ODW,Telugu Language
5279,984,"????? ???????
vaidya sa?graha?",,PL,Te,9x3,1 To 6,Vaidya,4,7,C,G,""""
5280,985,"????????
m?ghasa?d??a",Mallinatha,PL,Te,42x3.5,63Folios,Kavya,6,75,Inc.,ODW,
5281,986,"??????
bh?gavata?",Mallinatha,PL,Te,41.5x3.5,1 To 236,Purana,6,76,Inc.,G ,I Skanda 
5282,987,"?? ??????
pada pustaka",,PL,Te,37x3,77folios,Nighantu,5,62,Inc.,OD,
5283,988,"???? ???????
j?taka ratn?kara",,PL,Te,36x4,2 To 48,Jautisha,6,45,Inc.,ODW,
5284,988/2,"??????????????? ????
n?mali?g?nu??sana? ??k?",Subramanya,PL,TU,31x4.5,170 To 234,Nighantu,8,40,Ine,OD,""""
5285,989,"??????????
b?lar?m?ya?a?",Subramanya,PL,Te,37x4,1 To 6,Itihasa,7,65,C,G,
5286,990,"???????? ?????? ????????
siddh??ta kaumudi vy?khy?",Bhattoji Diksita,PL,Te,44.5x3 ,1 To 123,Vyakarana,7,68,Inc.,OD,
5287,991,"????? ????????
aitar?ya br?hma?a",,PL,Te,39.5x3,1 To 187,Brahmana,6,75,C,OD,
5288,992,"?????? ????????
raghuva??a vy?khy?",Mallinatha,PL,Te,42.5x3,1 To 169,Kavya,5,65,Inc.,G,"I, II, III, IV, V Sarga"
5289,993,"??????
bh?gavata?",Mallinatha,PL,Te,44x3.5,104 To 251,Purana,6,82,Inc. ,OD,"V Skanda, 8th Adhyaya, IX Skanda, 205 "
5290,994,"????? ?????
m?ruta ma?tra",,PL,Te,39x3,150Folios,Samhita,7,67,Inc,OD,
5291,995/1,"?????????
?abdama?jari",,PL,Te,22x3.5,1 To 17,Vyakarana,6,26,C,GO ,
5292,995/2,"?????? ????????
n?si?ha st?tra?",,PL,Te,22x3.5,1 To 4,Stotra,6,26,Inc.,GO ,
5293,996,"???????????????
n?mali?g?nu??sana?",,PL,Te,20x4.5,71folios,Nighantu,6,33,Inc.,ODW,
5294,997,"?????????
bhagavadg?t?",,PL,Te,18.5x5,1 To 37,Gita,11,25,Inc.,GO ,
5295,998,"??????? ?????? ????????
lak?m? narasi?ha sahasran?ma",Vyasa,PL,Te,35x5.5 ,55Folios,Stotra,7,50,Inc.,ODW,
5296,999,"?????? ????? ???????
vidy? vaidya ?ikh?ma?i",,PL,Te,47x3,1 To 273,Vaidya,5,57,Inc.,OD,
5297,1000,"???????
r?m?ya?a?",Valmiki,PL,Te,65x5.5,1 To 297,Itihasa,10,120,Inc.,ODW,Sundara Kanda
5298,1001,"??????? ?????????
samuccaya mah?pur??a?",Valmiki,PL,N. Na,33x5,1 To 168,Jautisha,7,60,C,G,
5299,1002/1,"????? ??? ???????
agni mukha pray?ga?",,PL,N.Na,18x4,1 To 22, G- Prayoga   ,7,28,Inc.,ODW,
5300,1002/2,"???????? ?????
kany?d?na vidhi?",,PL,N.Na,18x4,1 To 7, G- Prayoga   ,7,28,Inc.,ODW,
5301,1002/3,"???????? ?????
garbh?d?na vidhi?",,PL,N.Na,18x4,1 To 5, G- Prayoga   ,7,28,Inc.,DW,
5302,1003/1,"??????????? ?????
sa?dhy?p?san? vidhi?",,PL,Tu,21x3,1 To 30, G- Prayoga   ,6,27,C,GO,
5303,1003/2,"?????? ???
n?r?ya?a bali",,PL,N.Na,21x3,1 To 10, G- Prayoga   ,6,27,C,CD ,Sauna Kiya
5304,1003/3,"???????????? ????
pr?ya?citta k???a",,PL,Tu,21x3,1 To 7, G- Prayoga   ,6,27,C,OD,
5305,1003/4,"????????????????
vy?saputr???aka?",,PL,N.Na,21x3,1 To ,Stotra,8,35,Inc.,ODW,
5306,1003/5,"????????????? ?????
?tmali?gar?dhan? vidhi?",,PL,N.Na,21x3,1 To 2,Stotra,8,35,Inc.,ODW,
5307,1004,"?????? ??????
k?rik? paddhati",,PL,N.Na,23x3.5,1 To 120,Stotra,6,33,C,G,
5308,1005,"??? ?????????
?iva mah?pur??a?",Vyasa,PL,N.Na,65x5,1 To 72,Purana,8,115,Inc.,ODW,"Scribe : Krsna Bhatta, "
5309,1006,"???????
r?m?ya?a?",Vyasa,PL,N.Na,21x5,23Folios,Itihasa,8,33,Inc.,OD,Sundara Kanda 
5310,1007,"?????? ???? ?????
navagraha p?j? vidhi?",,PL,N.Na,21x5,22Folios, pooja,8,25,Inc.,GO,
5311,1008,"????????? ???????
sth?l?p?ka pray?ga?",,PL,N.Na,21x5,8Folios, G- Prayoga   ,7,22,Inc.,GOD,
5312,1009,"???? ??????
?aunaka k?rik?",????,PL,N.Na,21x5,71Folios, G- Prayoga   ,9,27,Inc,ODW,
5313,1010,"?????? ????????????
?k?da?? vrat?dy?pana?",,PL,N.Na,21x5,8Folios,Vrata,10,35,C,ODW ,From : Bhavisottarapuran
5314,1011,"??????? ???????
pit?m?dha pray?ga?",?????? ????,PL,N.Na,36x3.5,1 To 79, G- Prayoga   ,5,48,Inc.,ODW,
5315,1012/1,"????? ???? ?????
yamun? p?j? vidhi?",,PL,N.Na,24x5,13 To 15, pooja,8,45,C,G,
5316,1012/10,"???????????? ?????
jy?ti?sta?bha vrata?",,PL,N.Na,24x5,1 To 3,Vrata,8,45,C,G,
5317,1012/11,"???????????????????
?iva???ttarast?tra?",,PL,N.Na,24x5,1 To 2,Stotra,8,45,C,G ,
5318,1012/12,"???????????? ???? ???
jy?ti?sta?bha vrata kath?",,PL,N.Na,24x5,3 To 5,Vrata-Katha,8,45,C,G,From : Bhavisottarapurana
5319,1012/13,"?????????? ?????
k???ajaya?t? vrata?",,PL,N.Na,24x5,1 To 4,Vrata,8,45,Inc.,OD,
5320,1012/2,"????????? ????
ana?tavrata? kalpa",,PL,N.Na,24x5,15 To 20,Vrata,8,45,C,G,
5321,1012/3,"???? ???????? ???? ???
ana?ta caturda?? vrata kath?",,PL,N.Na,24x5,20 To 25,Vrata-Katha,8,45,C,G,From : Bhavisottara purana
5322,1012/4,"???????????? ?????
siddhivin?yaka vrata?",,PL,N.Na,24x5,1 To 5 To 1,Vrata,8,45,C,G,
5323,1012/5,"?????? ??????? ???? ???
vin?yaka caturth? vrata kath?",,PL,N.Na,24x5,6 To 8,Vrata-Katha,8,45,C,G,""""
5324,1012/6,"????????? ????????????
citran?mi vrat?dy?pana?",,PL,N.Na,24x5,1 To 2,Vrata,8,45,Inc.,GO,
5325,1012/7,"???????????? ?????
varamah?lak?m? vrata?",,PL,N.Na,24x5,1 To 6,Vrata,8,45,Inc.,G,
5326,1012/8,"?????? ??????? ?????
sa?ka??a caturth? vrata?",,PL,N.Na,24x5,1 To 7,Vrata,8,45,C,G,
5327,1012/9,"?????? ??????? ???? ???
sa?ka??a caturth? vrata kath?",,PL,N.Na,24x5,7 To 12,Vrata-Katha,8,45,C,G,From : Naradiya purana 
5328,1013/1,"????????? ??????????
bhagavadg?t? m?h?tmya?",,PL,N.Na,16.5x4,1 To 52,Purana,8,35,Inc.,GOD,
5329,1013/2,"???????????????? ????????
r?ma???ttara?atan?ma st?tra?",,PL,N.Na,16.5x4 ,1 To 10,Stotra,8,35,C,G,
5330,1013/3,"????????????
n?si?h???aka?",Sankaracarya,PL,N.Na,16.5x4,1 To 4,Stotra,8,35,C,G,
5331,1013/4,"?????? ????????
n?si?ha st?tra?",,PL,N.Na,16.5x4,1 To 9,Stotra,8,38,Inc.,GO,
5332,1014,"????? ?????????????
lalit? sahasran?m?va?i?",,PL,N.Na,18x5,4 To 33,Stotra,6,21,Inc.,GO,
5333,1015,"??? ???????? ????????
r?ma sahasran?ma st?tra?",,PL,N.Na,21x4,23Folios,Stotra,8,32,Inc.,ODW ,
5334,1016,"??????? ???????
nak?atra c???ma?i",,PL,N. Na,43x5,19Folios,Jautisha,9,85,Inc.,ODW,
5335,1017,"????????? ??????????
ve?ka?agiri m?h?tmya?",,PL,N.Na,49x5,18 To 34,Purana,9,95,Inc.,ODW,From : Vamana Purana 
5336,1018,"???????????? ??????
pr?ya?citta prad?pa",,PL,N.Na.,42.5x5,5 To 132, G- Prayoga   ,8,70,Inc.,ODW,
5337,1019,"?????? ??????
n?rad?ya sa?hit?",,PL,N. Na,47x5,81Folios,Tantra Mantragama,8,54,Inc.,OD,
5338,1021,"??????????? ?????
sa?dhy?p?san? vidhi?",,PL,N.Na,21.5x5,10Folios, G- Prayoga   ,10,42,Inc.,ODW,
5339,1022,"??? ?????? ???????? ??????
s?ta sa?hit? t?tparya d?pik?",Madhavacarya,PL,N. Na ,50x4,7 To 250,Vishistadvaita,7,90,Inc.,ODW,
5340,1023,"????????? ??????????
ve?ka?agiri m?h?tmya?",Madhavacarya,PL,N.Na,49x5,40 To 169,Purana,9,90,Inc.,ODW ,
5341,1024,"??????? ???????? ??????
mah?bh?rata t?tparya nir?aya",Ananda Tirtha,PL,N. Na,27x5.5,4 To 233,Dvaita,11,45,Inc.,ODW,
5342,1025,"???? ?????
m?dhava vijaya?",Narayana Panditacarya,PL,N.Na,40x4.5,1 To 53,Kavya,6,80,Inc.,ODW,
5343,1026,"??????????? ?????? ????
brahmas?tra bh??ya? ??k?",Raghavendra Yati,PL,N. Na,42x4.5,39Folios,Dvaita,9,105,Inc.,ODW,
5344,1027/1,"???? ????? ???????????? ?????
ga???a pr??a prati??h?pan? ma?tra",,PL,N. Na,25x4,1 To 2,Tantra Mantragama,6,30,Inc.,DW,
5345,1027/10,"??? ????? ?????
laghu ny?sa rudra",,PL,N.Na,25x4,1 To , pooja,6,25,Inc.,G,
5346,1027/11,"??? ????? ?????
laghu ny?sa rudra",,PL,N.Na,25x4,1 To 13, pooja,6,30,Inc.,O,
5347,1027/2,"??? ?? ????
vadhu vara p?j?",,PL,N.Na,25x4,4 To 11,General,6,30,Inc.,OD,
5348,1027/3,"???????????
rudr?dhy?ya",,PL,N.Na,25x4,14 To 21,Veda - Mantra,6,30,Inc,ODW,
5349,1027/4,"?????? ????? ?????
pa?c??ga rudra ma?tra",,PL,N.Na,25x4,5 To 13,General,6,30,Inc.,O,
5350,1027/5,"?????? ??????? ?????
vin?yaka caturth? vrata?",,PL,N.Na,25x4,13 To 18,Vrata,6,30,Inc.,O,
5351,1027/6,"?????? ??????? ???? ???
vin?yaka caturth? vrata kath?",,PL,N.Na,25x4,18 To 22,Vrata-Katha,6,30,C,G,""""
5352,1027/7,"????? ????????
v?dapada st?tra?",Jaimini,PL,N.Na,25x4,22 To 46,Stotra,6,30,C,GO,""""
5353,1027/8,"????? ???????
?l?ka sa?graha?",,PL,N.Na,25x4,47 To 55,General,6,30,C,GO,
5354,1027/9,"???????????
rudr?dhy?ya",,PL,N.Na,2.5x4,1 To 20,Veda - Mantra,6,20,C,G,
5355,1028/2,"?????? ????????? ????????
vin?yaka dv?da?an?ma st?tra?",,PL,N.Na,24x4,8 To 10,Stotra,4,26,C,G,
5356,1028/3,"?????? ????????
bh?skara st?tra?",,PL,N.Na,24x4,10 To 12,Stotra,4,26,Inc.,G,
5357,1029/1,"?????????? ?????
k???ajaya?t? vrata?",,PL,N.Na,23x5,1 To 3,Vrata,9,31,Inc.,OD,
5358,1029/10,"???????? ???? ???
??ipa?cam? vrata kath?",,PL,N.Na,23x5,8 To 17,Vrata-Katha,9,30,C,G,""""
5359,1029/11,"?????????? ?????
svar?agaur? vrata?",,PL,N.Na,23x5,1 To 6 To 1,Vrata,9,30,C,G,
5360,1029/12,"?????????? ???? ???
svar?agaur? vrata kath?",,PL,N.Na,23x5,6 To 1 To 8,Vrata-Katha,9,30,Inc.,GO,""""
5361,1029/2,"???????????????????
vi??usahasran?m?va?i?",,PL,N.Na,23x5,1 To 8,Stotra,9,38,C,G ,
5362,1029/3,"???????? ?????
ma?ga?agaur? vrata?",,PL,N.Na,23x5,1 To 4,Vrata,9,30,C,G,
5363,1029/4,"???????? ???? ???
ma?ga?agaur? vrata kath?",,PL,N.Na,23x5,4 To 10,Vrata-Katha,9,30,C,G,From : Skanda purana
5364,1029/5,"????????????? ?????
?r?va?adv?da?? vrata?",,PL,N.Na,23x5,1 To 4,Vrata,9,30,C,G,
5365,1029/6,"????????????? ???? ???
?r?va?adv?da?? vrata kath?",,PL,N.Na,23x5,5 To 10,Vrata-Katha,9,30,C,G,From : Bhavisottara purana
5366,1029/7,"????????? ?????
am?s?mav?ra vrata?",,PL,N.Na,23x5,1 To 2,Vrata,9,30,Inc.,G,
5367,1029/8,"???????? ???? ???
amas?mav?ra vrata kath?",,PL,N.Na,23x5,9 To 16,Vrata-Katha,9,30,Inc.,G,From : Bhavisottara purana
5368,1029/9,"???????? ?????
??ipa?cam? vrata?",,PL,N.Na,23x5,1 To 8,Vrata,9,30,C,G,
5369,1030,"??????? ???????? ??????
mah?bh?rata t?tparya nir?aya",,PL,N. Na,28.5x5,1 To 219,Dvaita,9,55,Inc.,ODW ,
5370,1031/1,"??????????????????
?v?t??vatar?pani?at",,PL,N.Na,34x3.5,1 To 11,Upanisat,6,38,Inc.,OD,
5371,1031/2,"?????????????????? ?????
?v?t??vatar?pani?at vivara?a",,PL,N.Na,34x3.5,12 To 91,Upanisat,6,38,Inc.,DW,
5372,1032,"???? ??????? ??????
???a?a ?r?ddha pray?ga",,PL,N.Na,35x5,38 To 195, G- Prayoga   ,7,60,Inc,DW,
5373,1033,"?????? ??????
?gv?da sa?hit?",,PL,N.Na,49x5,5 To 38,Samhita,7,95,Inc,ODW,
5374,1034,"??????? ???? ???
lak?m? vrata kath?",,PL,N.Na,24x5,4 To 9,Vrata-Katha,6,37,Inc. ,O,
5375,1035,"??? ???? ?????
d?va p?j? vidhi?",,PL,N.Na,34x4.5,32Folios, pooja,7,60,Inc. ,DW,
5376,1036,"????? ???????????? ?????
d?vat? prati??h?pan? vidhi?",,PL,N. Na,34x5,19Folios,Tantra Mantragama,8,45,Inc.,DW,
5377,1037,"??????? ???
sa?vatsara ?la?",,PL,N. Na,22x4.5,1 To 8,Jautisha,9,38,Inc.,O ,
5378,1038,"??? ??????????
m?gha m?h?tmya?",,PL,N.Na,27.5x5,36 To 72,Purana,10,55,Inc.,ODW ,
5379,1039,"????? ??? ???????
agni janana pray?ga?",,PL,N.Na,21.5x3,19Folios, G- Prayoga   ,5,35,Inc.,ODW,
5380,1040,"????? ??? ???????
agni mukha pray?ga?",,PL,N.Na,18x4,13Folios, G- Prayoga   ,7,25,Inc.,OD,
5381,1041/1,"???? ?????
d?v? s?kta",,PL,TU,17x4,47 To 47 To 1,Veda - Mantra,8,25,C,O,
5382,1041/10,"??? ?????
d?va s?kta",,PL,Tu,17x4,92 To 1 To 99,Veda - Mantra,8,25,Inc.,O,
5383,1041/11,"?????? ?????
vi??u s?kta",,PL,Tu,17x4,82 To 88,Veda - Mantra,8,25,C,O,
5384,1041/12,"????? ?????
puru?a s?kta",,PL,Tu,17x4,88 To 89,Veda - Mantra,8,25,C,O,
5385,1041/13,"??????? ?????
aghamar?ana s?kta",,PL,TU,16x4,89 To 91,Veda - Mantra,8,25,C,GO,
5386,1041/14,"???? ?????
ap?na ma?tra",,PL,Tu,17x4,91 To 91 To 1,Veda - Mantra,8,25,C,G,
5387,1041/15,"??????? ?????
naiv?dya ma?tra",,PL,TU,17x4,91 To 1 To 92,Tantra Mantragama,8,25,C,O,
5388,1041/17,"??????? ??? ?????
svasti ?k ma?tra",,PL,TU,17x4,99 To 1 To 100,Veda - Mantra,8,25,C ,O,
5389,1041/18,"??????? ?????
saubh?gya ma?tra",,PL,Tu,17x4,100 To 102,Veda - Mantra,8,25,C,O,
5390,1041/19,"????????? ?????
l?pamudr? s?kta",,PL,Tu,17x4,102 To 1 To 103,Veda - Mantra,8,25,C,O,
5391,1041/2,"??????? ?????
lak?m? s?kta",,PL,Tu,17x4,47 To 1 To 51,Veda - Mantra,8,25,C,O,
5392,1041/20,"????? ?????
k??ra s?kta",,PL,Tu,17x4,103 To 103 To 1,Veda - Mantra,8,25,C,O,
5393,1041/21,"??? ?????
dadhi s?kta",,PL,Tu,17x4,104 To ,Veda - Mantra,8,25,C,O,
5394,1041/22,"??? ?????
gh?ta s?kta",,PL,TU,17x4,104 To 1 To 105,Veda - Mantra,8,25,C,O,
5395,1041/23,"??? ?????
madhu s?kta",,PL,TU,17x4,105 To ,Veda - Mantra,8,25,C,G,
5396,1041/24,"????? ?????
?arkara s?kta",,PL,Tu,17x4,105 To 1 To 106,Veda - Mantra,8,25,C,O,
5397,1041/25,"?? ?????
?la s?kta",,PL,TU,17x4,106 To 107,Veda - Mantra,8,25,C,G,
5398,1041/26,"???????? ?????
vai?vad?va s?kta",,PL,Tu,17x4,107 To 108 To 1,Veda - Mantra,8,25,C,G,
5399,1041/27,"??????? ???
pavitr? ?k",,PL,Tu,17x4,108 To 1 To 109,Veda - Mantra,8,25,C,O,
5400,1041/28,"?????? ?????
samudra s?kta",,PL,Tu,17x4,109 To 110,Veda - Mantra,8,25,C,G,
5401,1041/29,"?????? ?????
r?tri s?kta",,PL,Tu,17x4,110 To 112,Veda - Mantra,8,25,C,G,
5402,1041/3,"????? ?????
?r?abha s?kta",,PL,Tu,17x4,52 To 53,Veda - Mantra,8,25,C,O,
5403,1041/30,"????? ?????
manyu s?kta",,PL,Tu,17x4,112 To 1 To 115,Veda - Mantra,8,25,Inc,O,
5404,1041/31,"???? ?????
sarpa s?kta",,PL,Tu,17x4,115 To 116 To 1,Veda - Mantra,8,25,C,O,
5405,1041/32,"?????? ?????
?yu?ya s?kta",,PL,Tu,17x4,116 To 1 To 117,Veda - Mantra,8,25,C,G,
5406,1041/33,"?????????? ?????
k??r?bdhi s?kta",,PL,Tu,17x4,117 To 1 To 118,Veda - Mantra,8,25,C,O,
5407,1041/34,"?????? ?????
samudra s?kta",,PL,Tu,17x4,118 To 120,Veda - Mantra,8,25,Inc.,O,
5408,1041/35,"???? ?????
n??i s?kta",,PL,Tu,17x4,120 To 121,Veda - Mantra,8,25,C,O,
5409,1041/36,"??????? ?????
a?vattha s?kta",,PL,Tu,17x4,121 To 122,Veda - Mantra,8,25,C,OD,
5410,1041/37,"??? ?????
gh?ta s?kta",,PL,TU,17x4,122 To 123,Veda - Mantra,8,25,C,O,
5411,1041/38,"?????? ???
?r?dhan? ?k",,PL,Tu,17x4,123 To 1 To 124,Veda - Mantra,8,25,C,O,
5412,1041/39,"??????????? ?????
ma?tr?k?ate ma?tra",,PL,Tu,17x4,124 To 125,Veda - Mantra,8,25,C,O,
5413,1041/4,"??? ???????? ?????
m?ta sa?j?vini s?kta",,PL,Tu,27x4,54 To 55,Veda - Mantra,8,25,C,O,
5414,1041/40,"?????? ?????
navagraha ma?tra",,PL,Tu,17x4,125 To 129,Veda - Mantra,8,25,C,O,
5415,1041/41,"??????? ???
up?karma ?k",,PL,Tu,17x4,129 To 132,Veda - Mantra,8,25,C,OD,
5416,1041/42,"???? ??? ???
sapta ??i ?k",,PL,TU,17x4,132 To 133,Veda - Mantra,8,25,C,OD,
5417,1041/43,"?? ?????
yama s?kta",,PL,Tu,17x4,133 To 138,Veda - Mantra,8,25,C,OD,
5418,1041/44,"?????? ?????
r?tri s?kta",,PL,Tu,17x4,138 To 139,Veda - Mantra,8,25,C,O,
5419,1041/45,"???? ?????
v?yu s?kta",,PL,Tu,17x4,139,Veda - Mantra,8,25,C,O,
5420,1041/46,"????? ?????
gr?ma s?kta",,PL,Tu,17x4,139 To 140,Veda - Mantra,8,25,C,O,
5421,1041/47,"?????????? ?????
citragupta s?kta",,PL,Tu,17x4,141 To ,Veda - Mantra,8,25,C,G,
5422,1041/48,"??? ?????
hari s?kta",,PL,TU,17x4,141 To 1 To 143,Veda - Mantra,8,25,Inc. ,O,
5423,1041/5,"???? ?????
?r? s?kta",,PL,TU,17x4,55 To 1 To 59,Veda - Mantra,8,25,C,O,
5424,1041/6,"??????? ?????
sarasvat? s?kta",,PL,Tu,17x4,59 To 64,Veda - Mantra,8,25,C,OD,
5425,1041/7,"??????? ?????
svasti s?kta",,PL,Tu,17x4,64 To 1 To 65,Veda - Mantra,8,25,C,O,
5426,1041/8,"??? ??? ?????
mah? saura s?kta",,PL,Tu,17x4,65 To 1 To 70,Veda - Mantra,8,25,Inc,GO,
5427,1041/9,"??? ????
saura varga",,PL,TU,17x4,71 To 77,Veda - Mantra,8,25,Inc.,O,
5428,1042/1,"????? ????? ?????
asthi sa?cayana vidhi?",,PL,Tu,20x4.5,7Folios, G- Prayoga   ,8,40,Inc. ,OD,
5429,1042/2,"????? ???????
vaidya sa?graha?",,PL,Tu,22x4.5,6folios,Vaidya,8,40,Inc.,OD,
5430,1042/3,"?? ????
?ya ga?ita",,PL,TU,22x4.5,17Folios,Ganita,8,40,Inc.,O,
5431,1043,"??????
?ubha?la?",,PL,N. Na,16x4,3Folios,Jautisha,4,25,C,G,
5432,1044,"???? ??????????
d?v? m?h?tmya?",Vyasa,PL,Tu,17.5x4,46Folios,Purana,6,20,Inc.,O,
5433,1045,"????? ???????
vaidya sa?graha?",,PL,Tu,20.5x5,45folios,Vaidya,12,30,Inc.,ODW,Kannada language
5434,1046,"????????????????
taittiriy?ra?yaka?",,PL,“,25x5,18 To 56,aranyaka,9,27,Inc.,GO,
5435,1047,"???? ????? ?????
sarva d?vat? ma?tra",,PL,Tu,24x4,61Folios,Veda - Mantra,8,35,Inc.,DW,
5436,1048,"???? ????? ?????
sarva d?vat? ma?tra",,PL,Tu,24x4,55Folios,Veda - Mantra,9,38,Inc.,OD,
