SL.No,Ass.No,Subject,Author,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
7217,1977/30,"????? ??????
s?rya ???ti?",,pl,N.Na,38x3,61&68,Shanti,5,65,C   ,O/D ,
7218,1977/31,"????? ??????
ca?dra ???ti?",,pl,N.Na,38x3,68&1&71,Shanti,5,65,C   ,O/D ,
7219,1977/32,"????? ??????
bh?yuma ???ti?",,pl,N.Na,38x3,71&73,Shanti,5,65,C   ,O,
7220,1977/33,"???? ??????
r?hu ???ti?",,pl,N.Na,38x3,73&74&1,Shanti,5,65,C   ,O/D ,
7221,1977/34,"???? ??????
k?tu ???ti?",,pl,N.Na,38x3,74&1&76,Shanti,5,65,C   ,O/D ,
7222,1977/35,"??? ???? ??? ??????
taila ku?bha d?na ???ti?",,pl,N.Na,38x3,76&,Shanti,5,65,C   ,O,
7223,1977/36,"???????? ??????
b?haspati ???ti?",,pl,N.Na,38x3,76&1&78,Shanti,5,65,C   ,O/D ,
7224,1977/37,"????? ??????
buddha ???ti?",,pl,N.Na,38x3,78&80,Shanti,5,65,C   ,G ,?????
7225,1977/38,"????? ??????
?ukra ???ti?",,pl,N.Na,38x3,81&82,Shanti,5,65,C   ,G ,
7226,1977/39,"???? ??? ?????
ana?u d?na vidhi?",,pl,N.Na,38x3,82&83,Shanti,5,65,C   ,O/D ,
7227,1977/4,"????? ??????
graha?a ???ti?",,pl,N.Na,38x3,16&20,Shanti,5,65,C   ,O/D ,
7228,1977/40,"?????? ??? ?????
pratima d?na vidhi?",,pl,N.Na,38x3,82&86,Shanti,5,65,C   ,G,
7229,1977/41,"??????????? ?????
sarpasa?sk?ra vidhi?",,pl,N.Na,38x3,86&87,Shanti,5,65,C   ,G ,
7230,1977/42,"??? ??? ??????
??la d?na ???ti?",,pl,N.Na,38x3,89&,Shanti,5,65,C   ,G ,
7231,1977/43,"??????? ??? ?????
k?lacakra d?na vidhi?",,pl,N.Na,38x3,89&90,Shanti,5,65,C   ,O/D ,
7232,1977/44,"????????? ??? ?????
tripuru?a d?na vidhi?",,pl,N.Na,38x3,90&1&92,Shanti,5,65,C   ,O/D ,
7233,1977/45,"???? ????????? ?????
catura m?rtid?na vidhi?",,pl,N.Na,38x3,92&93&1,Shanti,5,65,C   ,O ,??????
7234,1977/46,"????? ??????
?ithila ???ti?",,pl,N.Na,38x3,93&1&98,Shanti,5,65,C   ,O/D ,??????
7235,1977/47,"??????????? ??????
vidyutp?ta ???ti?",,pl,N.Na,38x3,98&104,Shanti,5,65,C   ,O/D ,????????? ??????
7236,1977/48,"??? ??????
???a ???ti?",,pl,N.Na,38x3,104&109,Shanti,5,65,C   ,O/D ,
